"Позначка часу","Як часто ви проводите час офлайн?","Де ви шукаєте локації для прогулянки?","Чи користувалися б ви телеграм ботом який буде вміщувати усі локації для проводження часу офлайн?","Чи можете ви порадите якісь локації?"
"2022/10/01 3:33:47 пп GMT+3","Часто","На вулиці","Так","Бар"
"2022/10/01 3:35:27 пп GMT+3","Стараюсь на кожних вихідних кудись виходити","На різних сайтах","Так",""
"2022/10/01 3:36:44 пп GMT+3","досить часто","в гугл мапі","Так","на жаль ні "
"2022/10/01 3:37:21 пп GMT+3","Достатньо","В інтернеті, у знайомих","Так",""
"2022/10/01 3:37:24 пп GMT+3","Достатньо","Самі знаходяться","Так","Парк Слави, особливо під ним круто"
"2022/10/01 3:38:52 пп GMT+3","дуже часто)","якось самому приходиться 🤨","Так","поки ні"
"2022/10/01 3:39:12 пп GMT+3","Гуляю с друзями кожну неділю ","В тік токі","Так","Пінчук арт центр"
"2022/10/01 3:44:39 пп GMT+3","Часто ","Телеграм, інстаграм, через друзів ","Ні",""
"2022/10/01 3:52:03 пп GMT+3","Редко","Поблизости","Так",""
"2022/10/01 3:52:39 пп GMT+3","Часто","Телеграм","Так","Так"
"2022/10/01 4:01:53 пп GMT+3","Залежить від дня, годин 6","Гугл, рек тік току,","Ні",""
"2022/10/01 4:05:32 пп GMT+3","Ну... Дуже складно сказати, я ще поки що мало знаю Київ. Офлайн провожу рідко. ","Поради від друзів або гугл карта","Так",""
"2022/10/01 4:07:02 пп GMT+3","Кожного дня","У соцмережах","Так",""
"2022/10/01 4:30:52 пп GMT+3","0","Де небудь","Так","Академ"
"2022/10/01 4:31:04 пп GMT+3","Часто","В Києві","Так","Честно кажучи не знаю"
"2022/10/01 4:51:00 пп GMT+3","я дивлюсь аніме","гугл карти","Так","ні, я хікка"
"2022/10/01 5:03:59 пп GMT+3","Намагаюсь вихідні проводити офлайн.","Частіше йде вже в місця що знаю.","Так","Дворик з воронами на Рейтарській (Золоті Ворота)"
"2022/10/01 5:49:16 пп GMT+3","Часто","Гугл","Так",""
"2022/10/01 5:55:14 пп GMT+3","Іноді","Інтернет, поради друзів","Так",""
"2022/10/01 6:10:48 пп GMT+3","4 годинни у день ","Google maps , інстаграм ","Так","Золоті ворота ; Вежа Octo Tower на  Кловській"
"2022/10/01 6:36:18 пп GMT+3","5 годин","Нідн","Так","Старокостянтинів"
"2022/10/01 6:39:03 пп GMT+3","Дуже рідко","Пропонують друзі","Ні",""
"2022/10/01 6:41:55 пп GMT+3","Да","Везде","Ні","Пишите в личку @_h.s.s.h_"
"2022/10/01 6:46:17 пп GMT+3","Менше половини дня, або цілий день, якщо з друзями <3","В Києві","Так","Голосіївський парк"
"2022/10/01 6:47:36 пп GMT+3","більше 20-ти годин","онлайн","Так",""
"2022/10/01 6:48:12 пп GMT+3","5годин","Там де більше людей","Так","Ні"
"2022/10/01 6:48:21 пп GMT+3","кожного дня","рекомендації тік ток ","Так",""
"2022/10/01 6:50:23 пп GMT+3","Більшість свого вільного часу проводжу офлайн","Йду у свої улюблені місця","Ні","Ні"
"2022/10/01 6:57:32 пп GMT+3","Никогда","На бомбасе","Ні","Бомбас, Енакиево"
"2022/10/01 7:05:33 пп GMT+3","завжди онлайн","парки та сквери","Ні","Біс поняття, у кожного свої принципи та переваги для гуляння, але мені більше подобається в місцях де мало людей "
"2022/10/01 7:10:57 пп GMT+3","З 24 годин десь годин 10-18","Через друзів або соц. мережі ","Так","Так"
"2022/10/01 7:15:47 пп GMT+3","завжди","дайвінчік","Так","гуллівер"
"2022/10/01 7:20:46 пп GMT+3","рідко","поблизу місця проживання","Так","набережна"
"2022/10/01 7:24:40 пп GMT+3","достатньо, аби бути задоволегим","в тіктоці, рекомендації від людей, сам знаю деякі місця","Так","Парк Теремки, парк Наталки Полтавки"
"2022/10/01 7:24:52 пп GMT+3","Постійно","У друзів","Ні","Ні"
"2022/10/01 7:26:33 пп GMT+3","Кожний день ","Не гуляю","Так","Ні"
"2022/10/01 7:29:08 пп GMT+3","Майже постійно","Інтернет, дізнаюся через знайомих, просто шукаю сама цікаві місця ","Так",""
"2022/10/01 7:41:33 пп GMT+3","5-6 Годин ","Питаю в людей або в інтернеті ","Так","Оглядовий майданчик на 270 градусів"
"2022/10/01 7:44:57 пп GMT+3","Кожен вечір ","У своєму місті, похід до магазину","Так","В горах круто"
"2022/10/01 7:57:44 пп GMT+3","24/7","Хз","Так","Ні( сорян"
"2022/10/01 8:07:39 пп GMT+3","Дохуя ","Не где","Так","Да долинска Киривоградська области "
"2022/10/01 8:10:37 пп GMT+3","4-5 нодин в день ","В інтернеті, запитую в знайомих","Так","Київське море, зелений театр, аудіовізуальна інсталяція ""Дзеркальне поле"" в урочищі Бабин Яр"
"2022/10/01 8:13:50 пп GMT+3","Рідко","Інтернет ","Так",""
"2022/10/01 8:21:13 пп GMT+3","Більше ніж онлайн","Google Maps","Так",""
"2022/10/01 8:36:28 пп GMT+3","0","Вдома","Так","Ні"
"2022/10/01 8:58:12 пп GMT+3","Часто","В інтернеті ","Так","Маріїнський парк"
"2022/10/01 9:01:58 пп GMT+3","Кожен день","В місті","Так","Парк"
"2022/10/01 9:18:51 пп GMT+3","постійно","куди очі глядять","Так","ні"
"2022/10/01 9:20:04 пп GMT+3","Каждый день по часу","Хожу и иду","Так","ЖК Французский Квартал 2 (важно именно второй)"
"2022/10/01 9:23:09 пп GMT+3","Прогулююсь","На картах","Ні","Бабин яр, цікаве місце, з гарним парком"
"2022/10/01 9:26:52 пп GMT+3","4-5 раз на неделю","гуляю на берестейской","Так",""
"2022/10/01 9:34:19 пп GMT+3","Кожного дня","В Інтернеті","Так",""
"2022/10/01 9:59:13 пп GMT+3","Досить часто","Питаю в тих, хто більше знає місцевість","Так","Поштова площа"
"2022/10/01 10:12:09 пп GMT+3","лише у робочі дні ","пропозиції на різних платформах ","Так","НСК Олімпійський, Золоті Ворота, Майдан, Контрактова Площа "
"2022/10/01 10:25:08 пп GMT+3","слушаю группу Ghost ","на улице ","Так","нет "
"2022/10/01 10:50:08 пп GMT+3","Дуже часто","Не гуляю останнім часом ","Так","Ні"
"2022/10/01 11:21:51 пп GMT+3","6 годин","В інтернеті, в різних соціальних мережах","Так",""
"2022/10/01 11:32:09 пп GMT+3","часто, любчику, дуже часто ","зазвичай мені радять цікаві місця друзі/знайомі ","Так","хороброго 5 "
"2022/10/01 11:35:18 пп GMT+3","Рідко","Від друзів та з соц.мереж","Ні","Ну"
"2022/10/02 12:47:46 дп GMT+3","Меншу частину часу ","По різному , більшість знайомі місця і їх не потрібно шукати )","Так","Хрещатик , майдан , парк )"
"2022/10/02 1:48:24 дп GMT+3","в свободные от учебы и работы дни стараюсь выходить куда-то прогуляться ","друзья/спрашиваю в стори в людей куда можно пойти","Так","шлюзи, азеааа "
"2022/10/02 1:50:30 дп GMT+3","Кожен день","Не шукаю","Так",""
"2022/10/02 3:48:31 дп GMT+3","14-+ годин ","знаю куди йти ","Так","ні"
"2022/10/02 8:37:11 дп GMT+3","Работаю  с телефоном ","Некогда ","Так","Сейчас в Харькове вообще не безопасно гулять "
"2022/10/02 10:45:42 дп GMT+3","Майже кожного дня","На рандом","Ні","Кращої ще не знайшли "
"2022/10/02 11:08:44 дп GMT+3","Рідко","Карті","Так","Да"
"2022/10/02 11:22:09 дп GMT+3","Дуже часто","В інтернеті, по рекомендаціям знайомих","Так",""
"2022/10/02 11:49:14 дп GMT+3","70% онлайн","Друзі розповідають/інтернет","Так","Ні, не місцевий"
"2022/10/02 12:59:37 пп GMT+3","3-6 годин ","Друзі водять завжди ","Ні","воєнторг чи музей "
"2022/10/02 2:24:05 пп GMT+3","Близько 5 годин","В Гугл мапс","Так","Ні"